source,paragraph
Conan Doyle,"Holmes nodded his head. “The name is familiar to me,” said he."
Conan Doyle,"a double tide inward and outward, while the footpaths were black with"
Christie,"“I can warm up things out of tins as well as you can,” I retorted,"
Christie,"Secretly, I was not dissatisfied with her collapse. It proved that she"
Christie,"“Oh, I don’t think so, miss. Ring the bell if he does. Good night.”"
Christie,run upstairs and take her place.”
Conan Doyle,with gentlemen who can twist steel pokers into knots. That and a
Conan Doyle,"locum tenens.  This makes my situation different from yours, Professor"
Christie,confronting my visitor in the library. He was a well-built young
Conan Doyle,the facts as far as we know them. But which of these is correct can
Christie,"secretary. My secretary, if you please! I’m tired of secretaries,"
Christie,"“When I was a mere youngster, I was in love with a girl who jilted"
Christie,"vital that she should know the line of defence that had occurred to me,"
Christie,“because of his figure and his humorous conversation. But I think
Christie,"“The murderer of M. Renauld, Hastings. And the would-be murderer of"
Conan Doyle,"in the air as a signal, and at once our colleague, Mr. E. D. Malone,"
Conan Doyle,was well-nigh certain that some foul plot had been woven round him.
Christie,The gardening gloves Auguste admitted to be his. He wore them when
Christie,everything” had been no idle one. Jack Renauld was clearly disconcerted
Conan Doyle,Grays' won't be in it.   'With their rifles grasped in their stiffened
Conan Doyle,"art, it is because it is an impersonal thing—a thing beyond myself."
Conan Doyle,"candid. Can you not find the advertisement, Mr. Wilson?”"
Conan Doyle,"page of the Times.  There's a Booth boat for Para next Wednesday week,"
Christie,A verdict of “Wilful Murder against some person or persons unknown”
Christie,primitive of the Neanderthal skulls found? Why? The cradle of the
Christie,"“Not at all, since his evidence confirmed my theory. But _I___ should"
Christie,Again Léonie shook her head.
Christie,dreamily. “I endeavour to live up to her precepts.”
Conan Doyle,"blood, which told of violence.  Such a monster as had pursued me during"
Conan Doyle,more of the most dangerous of all their enemies had been slain.  That
Conan Doyle,"had one or two little turns also with Mr. John Clay, and I agree with"
Christie,It was twelve o’clock when I went to my cabin. I was still puzzling
Christie,"about yourself, Gipsy girl. Why are you going to South Africa?”"
Christie,lay our hands on.”
Christie,deranging yourself. I can tell you all you wish to know. The Dulcibella
Christie,"crowd, but I fancy that there are passages in it which may amuse"
Christie,"To my great satisfaction, I saw a shade of uneasiness pass over"
Christie,would have dared to curse Miss Pettigrew. She’s just like the
Christie,good. Come and look me up tomorrow.”
Conan Doyle,"reduced to such absolute ruin that, save some twisted cylinders and"
Conan Doyle,"stone-flagged passage, in a peaked cap and frogged jacket. “I wish to"
Conan Doyle,"said Challenger, with more solemnity than I had ever heard in his"
Christie,"“That is my case,” said Giraud. “What have you to say to it?”"
Christie,take this step so unfalteringly.
Christie,"“I never thought you a fool, my dear lady, but may I venture to"
Conan Doyle,"line a little above the wrist, where the typewritist presses against"
Conan Doyle,"very much prefer having a witness, if only as a check to my own"
Conan Doyle,"twisted half-off and your stohwassers kickin' in the air, I thought we"
Conan Doyle,"above the opium den when I looked out of my window and saw, to my"
Christie,"his innocence when Poirot challenged him. But now, watching him as he"
Conan Doyle,"""I am surprised, sir,"" boomed Challenger, stroking his majestic beard,"
Christie,"A faint voice bade us enter, and we passed into a large sunny apartment"
Christie,good life—a hand-to-mouth scramble for existence far from the
Christie,came the murmur of voices.
Conan Doyle,"that these monstrous creatures which we had seen were lumbering,"
Christie,he was lying. It was necessary for me to see Mademoiselle Marthe before
Conan Doyle,"there was no sign of the stone, and I knew that some terrible mistake"
Christie,Poirot’s eyes. He and I together put our shoulders to the door.
Conan Doyle,"of Gladys, with her ""There are heroisms all round us.""  I seemed to hear"
Conan Doyle,"“There are three men waiting for him at the door,” said Holmes."
Conan Doyle,"kill you if we can,"" said the men in the east.  ""We will kill you if we"
Christie,“But when you go to bed at night?”
Conan Doyle,"""It's just the very biggest thing that I ever heard of!"" said I, though"
Christie,"Renauld to commit the crime, and who was conveniently put out of the"
Conan Doyle,"three or four miles from here.  The filthy beasts fingered me all over,"
Conan Doyle,"our equipment).  I will also allude very briefly to our river journey,"
Christie,"“Very well, madame. That is all, then.”"
Conan Doyle,"“I only looked in as I passed,” said he. “I am going right on.”"
Conan Doyle,have told me I think that it is possible that graver issues hang from
Conan Doyle,“You have the photograph?”
Conan Doyle,"shriekin' in your life.  The men were little red fellows, and had been"
Christie,"eyes, and he spoke with a sincerity and kindness that surprised me. “It"
Conan Doyle,for leaving America. Men at his time of life do not change all their
Christie,16 The Beroldy Case
Conan Doyle,"convenient branches beyond, so that I clambered onwards with such speed"
Conan Doyle,Could I have imagined when I entered that hall that I was about to
Conan Doyle,were impossible for us.  There the matter must be left.
Christie,reproduction of a woman’s photograph. He handed it to me. I uttered an
Conan Doyle,There are no signs that they have found us out as yet.  So our game
Conan Doyle,"were all my nightly dreams of the open arms, the smiling face, the"
Conan Doyle,"them going.  Conditions have changed, and the beasts died.  Here it"
Conan Doyle,"dwell forever upon the plateau.  So far all had been kindly, however"
Conan Doyle,marked German accent. “I told you that I would call.” He looked from
Conan Doyle,"character of its own. Indeed, apart from the nature of the"
Christie,Pagett’s powers of being in the right.
Christie,I had risen and was standing by her. I read out the figures as I
Christie,myself this afternoon. You might have caught _me_ coming out!”
Conan Doyle,"find there? Ah! this, I suppose, is he. I trust, sir, that you will"
Conan Doyle,"succeed in proving, what I feel sure is the truth, that my cousin"
Conan Doyle,"“What becomes, then, of these nocturnal whistles, and what of the very"
Conan Doyle,"I always liked McArdle, the crabbed, old, round-backed, red-headed news"
Conan Doyle,"pity to his friends and relatives. I can see him now, with yellow,"
Christie,"fighting a duel, and that he had no mean antagonist."
Conan Doyle,"was sprinkling my head with it, while Challenger and Summerlee were"
Conan Doyle,"""Did you see any other trace of life?"""
Christie,"head, thinking it was Poirot. Then I jumped to my feet. It was"
Conan Doyle,For answer the Professor took a book down from a shelf.
Christie,handle the dagger freely—there are no finger-prints on it.”
Conan Doyle,"my boy, and we shall see whether it will not fit the lock.”"
Conan Doyle,"have gone for no other exit could be discovered, and the ominous"
Christie,myself to understand that this was all real—that the man in front
Christie,"moustache very stiff, the head of a peculiar shape, and the eyes"
Christie,"“Or Denise, or Léonie. Whoever did this room. Since there is no dust,"
Conan Doyle,"armadillos had come down to the drinking-place, and were squatting at"
Christie,The writing was blurred and the note had evidently been written in
Conan Doyle,"is a bank director, and personally interested in the matter. I thought"
Christie,"key turned and the door swung slowly open. Cinderella, very pale,"
Conan Doyle,"this ventilator, and to the bell-rope which hung down to the bed. The"
Conan Doyle,"fear, rather than courage, which would be my inspiration.  Therefore,"
Christie,change of sleeping quarters.
Conan Doyle,successfully for the reigning family of Holland. Beyond these signs of
Conan Doyle,to London with first-hand knowledge of the central mystery of the
Conan Doyle,"cure. I shall take up as little of your valuable time as possible, so I"
Christie,"his eyes, opening them for a moment to remark. “Do not fear that I"
Conan Doyle,"what it was; but if it were a deer, as was claimed by Lord John, it"
Christie,“Precisely—‘_we!___’ You know very well that you cannot afford to let
Conan Doyle,left-handed gentleman with a game leg. I should become the
Christie,Jack shrugged his shoulders.
Christie,"down. Somehow or other, he would endeavour to turn the tables on me,"
Conan Doyle,"mother had left was enough for all our wants, and there seemed to be no"
Conan Doyle,"sure, weigh with you as against the glorious privilege of having your"
Conan Doyle,"“You have been cruelly used,” said Holmes."
Christie,"He isn’t at all fond of strenuous physical exercise, I have noticed."
Conan Doyle,"a long time at the brown, oily river.  I can always think most sanely"
Conan Doyle,                     SIR ARTHUR CONAN DOYLE
Christie,"and mildewy. In spite of myself, I shivered. Did the woman who had"
Christie,"“All the same,” said the woman, “I am disturbed. My position is"
Conan Doyle,"""Then--oh! how shall one describe what took place then--when the full"
Conan Doyle,"“And the lady, I fancy, is Miss Stoner,” observed Holmes, shading his"
Christie,"“How should I know that, monsieur?”"
Christie,"“We’re getting some light on the thing, anyway. It’s the diamonds"
Christie,Marthe. But I fear you will not have great success.”
Christie,"“That depends,” she replied demurely, copying me."
Christie,and I heard him grunt something angrily.
Conan Doyle,"with a richness which would, in England, be looked upon as akin to bad"
Conan Doyle,"""So I should suppose."""
Conan Doyle,"faces which were convulsed with fear and hatred, they shook their"
Conan Doyle,"Then it was that the lust of the chase would suddenly come upon him,"
Christie,"“If you’re trying to get up a nasty scandal about Chichester, who"
Christie,"the Renauld family, it is probable that she is on the stage. Jack"
Christie,“Because he’s a man who likes playing a lone hand. And when the
Conan Doyle,"wouldn't; for things are so much nicer as they are."""
Christie,isn’t let—nor likely to be now.”
Conan Doyle,"the joint upon the sideboard, sandwiched it between two rounds of"
Christie,"M. Hautet nodded his head, and proceeded with his inquiries along the,"
Christie,"“Save me,” he said hoarsely. “They’re after me.”"
Conan Doyle,had more than once observed to be a strong factor in my friend’s
Christie,should have but for your drawing.”
Conan Doyle,reptilian forms of jurassic type.  So much is clear.  And now come the
Christie,theory is that she walked in her sleep. There are signs on the path
Conan Doyle,"the 9th inst., Mr. Jeremiah Hayling, aged twenty-six, a hydraulic"
Conan Doyle,"great pleasure in our lives. No servant would stay with us, and for a"
Christie,"life, equally unoriginal outside the law. If a man commits a crime, any"
Christie,"grey cells___—remember always the little grey cells, _mon ami!___”"
Conan Doyle,"house in Kensington I thought over it all, from the extraordinary story"
Conan Doyle,"""There is no difficulty about that,"" said I.  ""They live in the caves"
Christie,"appointment later in the day to deliver old Milray’s _billet-doux,_"
Conan Doyle,foot of the stair within a very few seconds of her husband’s appearance
Conan Doyle,"I have never been so insulted in my life."""
Christie,"life out there, his love affairs, his business transactions, his"
Christie,and never stop laughing even when your mouth is grave. But I’ll
Conan Doyle,"portion and two curving wings, like the claws of a crab, thrown out on"
Conan Doyle,"upon record, even if it gave my friend fewer openings for those"
Christie,"the rough wooden table, is the letter that Suzanne wrote me."
Conan Doyle,down into a corner and helped himself to a cup of tea.
Conan Doyle,"                    ""For once I was the Hero"""
Conan Doyle,“‘How far from the body?’
Conan Doyle,"his fate, that for ten years to come, at any rate, she would not listen"
Conan Doyle,"to the singular case of Miss Mary Sutherland, and to the adventure of"
Conan Doyle,slipped.  There was no escape for us there.
Conan Doyle,"at a distance, which corresponded with nothing at present known to"
Christie,cruel. One comes to hold life and death very lightly.”
Conan Doyle,“But he might be a bachelor.”
Christie,"another having descended, and he broke into a run. As he did so,"
Christie,"“Oh, that was quite simple. She met Pagett in the doorway of the"
Christie,"the people I’m staying with, and I wrote those words on it myself."
Christie,"her, you comprehend.” I nodded, my interest growing."
Christie,"maliciously, as I recalled our conversation at breakfast."
Conan Doyle,"point, and this the means by which Maple White and his ill-fated"
Conan Doyle,"“Your cases have indeed been of the greatest interest to me,” I"
Christie,the place under martial law two days ago.
Conan Doyle,public-house at the corner of one of the streets which runs down into
Conan Doyle,"clutching at the skirt of my dress. I rushed down the passage, through"
Christie,I had been shown into on arrival. One of them was that of my Dutch
Conan Doyle,that we were watched on every side.  We had not so much to fear from
Conan Doyle,"I, after going through all the police formalities, have hurried round"
Christie,cabin. The stewardess was awaiting me with a troubled face.
Christie,"California, and traded in the South Sea Islands. He had been secretary"
Christie,I did not reply.
Conan Doyle,several scattered drops were visible upon the wooden floor of the
Christie,"“If you ask me, the whole thing is very queer, Sir Eustace. Look"
Christie,miaowing again. He returned with a big jug of milk and the cats
Christie,"“Now we can talk,” he observed grimly, and coming across the room,"
Conan Doyle,"“THE RED-HEADED LEAGUE IS DISSOLVED. October 9, 1890.”"
Conan Doyle,afternoon.” She dropped her thick black veil over her face and glided
Conan Doyle,when I found myself in Baker Street once more. As I approached the
Christie,alone.” He looked meaningly in the direction of the girl.
Christie,“No. Of course one of our first proceedings was to search through his
Conan Doyle,evident that the English Professor had handled his subject in a very
Christie,"quite to welcome the idea, and remarked that if I were murdered it"
Conan Doyle,"“Well, at least,” said Holmes, “you have had your revenge upon them."
Christie,"would have changed her views quickly enough. Suzanne likes thrills,"
Christie,"“You think profoundly, my friend,” remarked Poirot, breaking in upon my"
Conan Doyle,From their sounds Lord John judged them to be some form of wild cattle.
Conan Doyle,                   I have wrought my simple plan
Christie,"Twenty minutes later we set forth. It was quite dark now, a close,"
Conan Doyle,that we are never likely to find ourselves in the same position. Draw
Conan Doyle,leave the dead American and proceed with my narrative.  You can imagine
Conan Doyle,"safety for any of us.  We are assembled now and ready."" Then he pointed"
Conan Doyle,"usual, remarking before he started that he had two important"
Conan Doyle,“Witness: I must still refuse.
Conan Doyle,"was easy to tell a thing like that to. He laughed until he choked, and"
Christie,“Your films! The ones that were passed to you through the
Conan Doyle,"From the utter silence there emerged a deep, regular pat-pat.  It was"
Christie,"existence. Jumping up from her seat, she let down the window and stuck"
Christie,make an excuse of Mrs. Blair’s cases to keep him in Cape Town. I
Conan Doyle,thrust into red heelless Turkish slippers. Across his lap lay the short
Conan Doyle,still nodding away like a queer mechanical toy in front of the
Conan Doyle,meet us here at six o’clock to-morrow evening. It is just as well that
Christie,cared for bloodhounds. The upshot of it all was that he had seen
Christie,"with two big bay windows, plain white walls and a bare floor, the"
Conan Doyle,plateau.  The two things were separate and apart.  There was the plain
Conan Doyle,sentiment.  You are in a land which offers such an inducement to the
Christie,"The best pal a man ever had was killed, partly through his own mad"
Conan Doyle,"“No, I am descending.”"
Conan Doyle,"an armchair, he looked her over in the minute and yet abstracted"
Christie,"apprehension. There was no doubt about it, she was afraid!"
Conan Doyle,I should do first.
Christie,"Cinderella who stood in the doorway. She spoke haltingly, her breath"
Conan Doyle,"journey, and in one spot we actually came upon four fire-blackened"
Conan Doyle,fugitive and flung his arms round his neck.  They rolled on the ground
Conan Doyle,"inclined to think neither. Women are naturally secretive, and they like"
Conan Doyle,"“Your sister asked for it, I suppose?”"
Conan Doyle,"“That will do, Mr. Wilson. I shall be happy to give you an opinion upon"
Conan Doyle,protruded out of the floor. Then it was withdrawn as suddenly as it
Christie,Harry stood by the window which overlooked the landing-stage. The
Conan Doyle,therefore the deceased had gone to bed within that time—a deduction
Christie,“You can see the Grand Peak of Tenerife from the other side.”
Conan Doyle,“What have you done?” asked Holmes.
Christie,Suddenly she stood up and drew back respectfully as Harry Rayburn
Christie,"    when he began to change, and to stop writing so often, she began"
Conan Doyle,"""You infernal bully!"" I cried, as I gathered myself together."
Christie,comfort from ice-cream sodas. I applied myself to the end of the
Conan Doyle,sudden danger might have befallen them.  But then a simpler and more
Conan Doyle,certainty that some troglodytic race inhabited them.  But besides that
Conan Doyle,flitted about with a faint phosphorescent glimmer in the darkness.  The
Christie,holiday shortly afterwards. In my opinion the quarrel with the tramp
Conan Doyle,"doctor bandaged me, and I think that your breakfast has completed the"
Conan Doyle,"that didn’t make no change in her young man, and he stuck to her as"
Conan Doyle,"A wide, open space lay before us--some hundreds of yards across--all"
Conan Doyle,“And your father?” asked Holmes. “Was he in favour of such a union?”
Christie,measures to deceive any one not likely to appreciate details. Masters
Conan Doyle,"of bravery, the bravery of the scientific mind.  Theirs was the spirit"
Conan Doyle,"head, smashed the shop window behind him. Peterson had rushed forward"
Conan Doyle,"The openings were about eighty feet above the ground, and were led up"
Christie,So you don’t class women as ‘weak things’?”
Conan Doyle,"It was about a foot square, and on the inner side there was a singular"
Conan Doyle,"seen.  It was the wild dream of an opium smoker, a vision of delirium."
Christie,"“You said I could come safely, Anne?”"
Christie,"“My dear child, do you think you can listen to me whilst I try to"
Christie,not know then that he had been in Merlinville the previous evening.”
Conan Doyle,"“Oh, indeed! You seem to have done the thing very completely. I must"
Conan Doyle,"a boarding-school, what does the idiot do but get into the clutches of"
Christie,floating in on the waves. It was far too early to go to tea. I made
Conan Doyle,"“‘Well, then, you know now. And if you ever put your foot over that"
Christie,“Listen. We are agreed that Mrs. Renauld’s story is a fabrication. Is
Christie,"The girl paused in her operations, and stared at me with undisguised"
Christie,His words took me so much aback that I hardly knew how to respond. He
Christie,perhaps I might get it cheap—in the circumstances.”
Conan Doyle,was that he had the appointment with. But ‘Cooee’ is a distinctly
Conan Doyle,"the doorway, and his breadth seemed to span it across from side to"
Conan Doyle,“That is it on the dressing-table.”
Conan Doyle,"of course, that the Professor's earnest desire was that no possible"
Conan Doyle,"among the serving-men.  He's a hard nail, is Jack, and a dead shot,"
Christie,"was still one in the passage outside, and there was therefore a"
Conan Doyle,before now if I could ha’ got out from the cellar. If there’s
Conan Doyle,"mortgage. The last squire dragged out his existence there, living the"
Christie,"“I am not pining for society, I assure you,” he replied coldly."
Conan Doyle,"overshadowed the encampment.  ""I say, look at this,"" said he.  ""I"
Conan Doyle,inquiry came to the conclusion that the doctor met his fate while
Christie,"Sir Eustace gave the order. The men filed out, and Harry shot the"
Conan Doyle,"""We have been privileged to overhear a prehistoric tragedy, the sort of"
Conan Doyle,"course, yours had to be sacrificed also. By a curious chance you came"
Conan Doyle,"""Professor Challenger,"" said he, in a solemn voice, which quavered with"
Conan Doyle,"the rest, it was cracked, exceedingly dusty, and spotted in several"
Conan Doyle,"his feet flapping both his hands and bleating excitedly.  ""Professor"
Conan Doyle,was at college; for having read De Quincey’s description of his dreams
Christie,“And he tried to get Cabin 17!”
Christie,Sir Eustace and his own justification and came to rest on me.
Conan Doyle,"been serving his time in Pentonville. One day he had met me, and fell"
Christie,but is watching us from the end of the platform. Never mind your
Christie,A stolid juryman suggested that some men were terrified of cats.
Christie,evening so that it is clearly impossible for her to have been in
Conan Doyle,by the chin.  Even the appearance of a very ordinary rock python does
Conan Doyle,"on a point. Of course, I did not mind you so much, as you are not"
Conan Doyle,"stuff of his about mammoths and mastodons and great sea sairpents?"""
Conan Doyle,of the globe?  Very likely.  Had the germs of it arrived from outside
Christie,"could have passed without remark. Very tall, with the proportions of a"
Conan Doyle,his former experiences was that he could talk fluently in the Lingoa
Christie,"“You see the point,” she cried delightedly. “It must be some curve"
Christie,misgiving. I stepped over the threshold and the door swung sharply
Christie,"“Of course,” began Giraud, “I soon saw through all that Chilian"
Conan Doyle,cage.  As I drew nearer I was more amazed still to see that it was Lord
Conan Doyle,"cheering.)  ""Popular lecturers are in their nature parasitic.""  (Angry"
Conan Doyle,"among them.  We saw no sign of pursuit, however, and soon we had got"
Christie,every motion and gesture of the doctor. When I had finished I had
Conan Doyle,"my inventive brain was unable to solve, and I promise you that"
Christie,"“Eh, eh!” said the magistrate, his face falling a little, “so you have"
Christie,“Mayn’t be on the boat. I’ve got to see whether that sister of mine got
Christie,unless I was madly in love with them. And of course there is really
Conan Doyle,"Striking one of them, I was able at last to form some opinion of this"
Christie,"my neck, and pressed her sweet wet face to mine."
Christie,"He made a sign to the commissary, and the latter replied with a nod."
Conan Doyle,"This brought the lecturer to the great ladder of animal life, beginning"
Conan Doyle,"were abhorrent to his cold, precise but admirably balanced mind. He"
Christie,"house, I could do nothing to attract their attention. Down below"
Christie,and was startled by a low growl. He turned sharply and saw a lion
Christie,  CHAPTER XXVIII
Conan Doyle,"About nine o’clock the light among the trees was extinguished, and all"
Conan Doyle,between a blundering pilot and an intrusive sandbank.  I fear that it
Conan Doyle,ears.  It was not until it had settled again that I dared to steal
Christie,brown suit. He explained to Mrs. James that he was a friend of the
Conan Doyle,"One night—it was in June, ’89—there came a ring to my bell, about the"
Christie,"“So your friends know where you are, do they? Which of them?”"
Christie,Where and how did you come to engage her?”
Conan Doyle,"“This time, at least, I did not scorn her advice. I staggered to my"
Christie,"“Harry Rayburn seems quite a suitable name,” he observed."
Christie,was on your dressing-table last night?”
Christie,"the tree in the flower-bed, he swarmed up it with the agility of a cat."
Conan Doyle,“And the papers?” asked the King hoarsely. “All is lost.”
Christie,a first-class ticket to London. Nothing much there to go upon.
Christie,struck me as peculiar.
Christie,"on board the boat, keeping to my own cabin as far as possible under"
Conan Doyle,"How shall I ever forget that dreadful vigil? I could not hear a sound,"
Conan Doyle,herself that she alone had touched his heart. The devil knows best what
Conan Doyle,unpractised eyes could recognize as being of great price and rarity
Christie,"lawyer, Georges Conneau. It was soon evident that the fascinating"
Christie,I opened my eyes in surprise.
Christie,outside my circumscribed range of vision.
Conan Doyle,"creature, twelve feet from head to foot--phororachus its name,"
Christie,“I fastened it as usual.”
Christie,secretary like that? And his face is such a nasty shade of yellow
Conan Doyle,"“What a woman—oh, what a woman!” cried the King of Bohemia, when we had"
Conan Doyle,"“‘My name,’ said he, ‘is Mr. Duncan Ross, and I am myself one of the"
Conan Doyle,"was a loathsome adventure, and one of which I hate to think.  If, as"
Christie,"“It looks like it, but, if so, we’ve got to find out what he was"
Conan Doyle,"on the other side, we should not have more than a hundred feet to"
Conan Doyle,"“At half wages, in fact.”"
Conan Doyle,"“They have laid the supper, then,” he said, rubbing his hands."
Conan Doyle,"Detroit, Michigan.  It is a name to which I am prepared always to lift"
Conan Doyle,"actual living creatures, sat the horrible males, absolutely motionless"
Conan Doyle,"but as, by Mrs. St. Clair’s story, he was known to have been at the"
Christie,"“Yes, monsieur. I heard them come out of the study and go to the door."
Christie,laconically. So there was fighting going on in Jo’burg!
Christie,myself up to some very serious thinking.
Conan Doyle,"with that unless they make a case of attempted suicide of it,” said the"
Christie,  CHAPTER XXXII
Conan Doyle,"lad, and before he really knew her, for she had been away five years at"
Christie,I endeavoured to distract his mind.
Conan Doyle,now arrived.  You are in safe hands.  You will not now fail to reach
Conan Doyle,find out what this strange place could be into which I had been so
Christie,to shield his murderer___. For whom will a woman lie? Sometimes for
Christie,and throw you on to the boat. What do you think I’m made of? Do
Conan Doyle,"wielding a heavy umbrella, which rose and fell in the midst of them."
Conan Doyle,"them stood out beside Challenger.  You'll smile, young fellah, but 'pon"
Conan Doyle,ascribed.  I have safely conducted these three gentlemen to the spot
Conan Doyle,weaknesses on which you have favoured me with your medical views.”
Conan Doyle,“My opinion is in no way altered.”
Christie,stay on it for ever and ever.”
Christie,Hautet if there was a good hotel near at hand.
Conan Doyle,"on to the lowest of the giant off-shoots, then it would be strange"
Christie,ludicrously inappropriate to the solemnity of the moment.
Conan Doyle,presence being concealed from its inhabitants.  The two professors were
Conan Doyle,so singular an interference with the general laws of survival.  Yet I
Conan Doyle,nonentity. It was easy to see that she was passionately devoted both to
Conan Doyle,"summer than for winter. Ah, Watson, you have just come at the right"
Conan Doyle,As she swept silently into the room she impressed me with a greater
Conan Doyle,plunged instantly into my subject.
Christie,"“And giraffes. They were nomadic, you see. It wasn’t till they"
Conan Doyle,gaps left by a succession of fugitive butlers.  He looked me up and
Christie,and spread their merchandise about the decks. There were flowers
Christie,"to use their brains, they rely solely on their muscles. Let us talk"
Conan Doyle,"aeronautic invention of Professor Challenger, and wound up a most"
Christie,Poirot restrained my ardour with a light touch upon the arm.
Christie,"“Well,” he remarked, “you know your own business best, but, if I"
Conan Doyle,"would do nothing to make it worse.  A third attempt, later in the day,"
Christie,to think that it is high time I went to Jo’burg.
Christie,"taking care of myself, and in the end, with a sigh of relief at"
Christie,"another voice spoke, imperturbable and calm, the voice of Hercule"
Conan Doyle,"happen if I did break it, Mr. Holder? There would be a noise like a"
Conan Doyle,bird. I did not care to spend more money in a hopeless attempt at
Conan Doyle,"afterwards they remembered us, and sent them to mother. Mr. Windibank"
Christie,"“The police—the police,” grumbled Françoise. “Never did I think that I"
Conan Doyle,"On the ninth day after leaving the canoes, having done, as I reckon,"
Conan Doyle,"""Challenger?"" He gathered his brows in scientific disapproval."
Conan Doyle,to solve is how to while away these bleak autumnal evenings.”
Christie,"soothingly, though fully aware that I was making an idiotic"
Christie,"I was in the street again, breathing hard as though I had been"
Christie,"Now, with no other facts to help me than those we have discussed, I"
Christie,"event it would have been much the same. To Giraud, all examining"
Conan Doyle,"could not only hear the gentle breathing of my companions, but I could"
Christie,"mind, and glanced up at the clock. His face was very grave."
Christie,attentively. In a minute he tossed the sheet over to me.
Christie,the fact that he was not a waiter but an Immigration officer. I
Conan Doyle,"iguanodon hide, and a large collapsed membrane which proved to be the"
Christie,"yourself, _petite___, I see that you know. Now a second question, did"
Conan Doyle,“Quite so. And she was afterwards seen walking into Hyde Park in
Conan Doyle,fresh blood. On following him they found the dead body stretched out
Christie,"“Dear me, Miss Beddingfeld, I understood that you had disappeared.”"
Conan Doyle,and his eyes fixed upon the fire.
Christie,That aroused me in earnest.
Conan Doyle,"view that what this young man says is true, and we shall see whither"
Conan Doyle,"“‘And he is admirably suited for it,’ the other answered. ‘He has every"
Christie,think—that—that it was _me?___”
Christie,"phrase: ‘When you are dead, I can do as I please?’”"
Conan Doyle,"whatever virtues that gentleman might possess in private life, still"
Christie,"I sat on the edge of my bunk, still in my gipsy dress, and"
Conan Doyle,is the disposition of the child.”
Conan Doyle,                            CHAPTER II
Christie,"“Nobody can go into the house, do you hear that? Fairly sick of"
Conan Doyle,down and the dreadful things were still.
Christie,"hand over mine, and, soothed and comforted, I dropped off to sleep"
Conan Doyle,"""Come in!"" said he.  ""I've not done with you yet."""
Christie,moustache came bustling down to the gate. The _sergent de ville___
Conan Doyle,"“It is fortunate, for you will perhaps be able to post me up. I read"
Conan Doyle,"Neville St. Clair was doing in the opium den, what happened to him when"
Christie,gave her the keys of the house. It was situated at some distance
Christie,"“Do not enrage yourself, my friend,” said Poirot with a smile. “I will"
Christie,"jerked open in the struggle and the roll of films had fallen out,"
Christie,would pass to his son. Let us reconstruct the scene from the standpoint
Conan Doyle,"much about it that I thought he might prove useful, so I just ordered"
Conan Doyle,"“Really, now!” cried the inspector, “you have formed your opinion!"
Conan Doyle,fellow is a self-confessed humbug.  We have only to return home and
Conan Doyle,plateau is not larger than an average English county.  Within this
Conan Doyle,cannot but be thankful to the force that drove me.
Conan Doyle,"fabrication, for it would be absurd to suppose that so powerful an"
Christie,For a long time their conversation was quite incomprehensible to
Conan Doyle,The object which had caught his eye was a small dog lash hung on one
Conan Doyle,"a luxuriant vegetation, with bushes near the edge, and farther back"
Christie,“Never mind the wooden animals. These cats are alive. I shall take
Conan Doyle,"him that all was right, and eventually got to my bed about two o’clock,"
Conan Doyle,"whole time. If you leave, you forfeit your whole position forever. The"
Conan Doyle,"smile of benevolence was a wonderful thing, when his cheeks would"
Conan Doyle,made the inspector realise that the matter was serious. The rooms were
Conan Doyle,definite knowledge upon the point.
Conan Doyle,"Her dear hand rested like warm velvet upon my lips.  ""Not another word,"
Christie,"He was about forty, with a touch of greying hair at either temple,"
Conan Doyle,"moonlight. Sir George Burnwell tried to get away, but Arthur caught"
Conan Doyle,hurried from the room.
Christie,"the act of returning the pencil to my bag, it slipped from my"
Conan Doyle,still wait its turn in the editorial drawer.
Conan Doyle,"with his companion had taken the same way.  Only the year before,"
Christie,ordinary was his will. Here it is.”
Conan Doyle,“But he is right. Oh! I know that he is right. James never did it. And
Conan Doyle,away into the silence from which it rose.
Christie,knew that dawn was not far off.
Christie,"the war, and I’ve seen doctors handle bodies. There’s a sort of"
Christie,surpassed yourself.” He kissed her gallantly on both cheeks in a
Conan Doyle,Now it was clear to me that our lady of to-day had nothing in the house
Christie,or had he not? Did he mean to carry out his original plan of going
Christie,the adjoining room and called to Pagett.
Conan Doyle,"little collar of foam in front, and a long swirling wake behind, rising"
Conan Doyle,“‘Come! come!’ she cried breathlessly. ‘They will be here in a moment.
Christie,I was waiting for something—something that would happen soon. I
Christie,"She raised her veil—and I gasped. For, though as like her as two peas,"
Christie,"clear, with an exaggerated foreign accent: ‘The Mill House, Marlow."
Conan Doyle,strain upon the cervical spine was more than I could bear.  My senses
Christie,"body, and any finger-prints or interesting things like that. I’ve never"
Conan Doyle,“What will you say?”
Conan Doyle,VI. THE MAN WITH THE TWISTED LIP
Christie,reach of the pursuer. It was what I had intended and planned.
Conan Doyle,"two loafers who had collected.  He clumped heavily down the street,"
Christie,at the time. And yet——”
Christie,"“Surely, Poirot,” I cried, aghast, “you cannot believe that a boy like"
Conan Doyle,"began to walk up and down near Briony Lodge once more, and to think"
Conan Doyle,"Sit down in that armchair, Doctor, and give us your best attention.”"
Christie,"been in the thick of it here, gathering copy for the _Daily"
Christie,"“My sister and I. Sort of song and dance, and a bit of patter, and a"
Conan Doyle,"out in a high staccato rattle, and being followed after a pause by a"
